"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 05 21:19:41 GMT 2025","Tue Aug 05 21:19:43 GMT 2025","1918","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Tue Aug 05 21:19:06 GMT 2025","Tue Aug 05 21:19:07 GMT 2025","1661","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Tue Aug 05 21:19:53 GMT 2025","Tue Aug 05 21:19:55 GMT 2025","1953","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Tue Aug 05 21:20:00 GMT 2025","Tue Aug 05 21:20:03 GMT 2025","2309","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Tue Aug 05 21:19:12 GMT 2025","Tue Aug 05 21:19:14 GMT 2025","2049","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Tue Aug 05 21:19:16 GMT 2025","Tue Aug 05 21:19:20 GMT 2025","3736","LMS system","Authentication","Authorization","","","User login with correct email and password",""
"passed","Tue Aug 05 21:19:07 GMT 2025","Tue Aug 05 21:19:09 GMT 2025","1447","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Tue Aug 05 21:19:40 GMT 2025","Tue Aug 05 21:19:43 GMT 2025","2845","LMS system","Courses","Courses","","","Create course",""
"passed","Tue Aug 05 21:19:09 GMT 2025","Tue Aug 05 21:19:11 GMT 2025","1919","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Tue Aug 05 21:19:37 GMT 2025","Tue Aug 05 21:19:40 GMT 2025","2269","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Tue Aug 05 21:19:25 GMT 2025","Tue Aug 05 21:19:27 GMT 2025","1406","LMS system","Authentication","Authorization","","","Navigation from login page to registration page",""
"passed","Tue Aug 05 21:19:18 GMT 2025","Tue Aug 05 21:19:20 GMT 2025","2285","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Tue Aug 05 21:19:45 GMT 2025","Tue Aug 05 21:19:48 GMT 2025","3607","LMS system","Courses","Courses","","","Create course",""
"passed","Tue Aug 05 21:19:03 GMT 2025","Tue Aug 05 21:19:07 GMT 2025","3385","LMS system","Authentication","Authorization","","","User login with correct email and password",""
"passed","Tue Aug 05 21:19:45 GMT 2025","Tue Aug 05 21:19:48 GMT 2025","3157","LMS system","Courses","Courses","","","Create course",""
"passed","Tue Aug 05 21:19:30 GMT 2025","Tue Aug 05 21:19:33 GMT 2025","2772","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
"passed","Tue Aug 05 21:19:27 GMT 2025","Tue Aug 05 21:19:29 GMT 2025","2063","LMS system","Authentication","Authorization","","","Navigation from login page to registration page",""
"passed","Tue Aug 05 21:19:15 GMT 2025","Tue Aug 05 21:19:16 GMT 2025","1732","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Tue Aug 05 21:19:22 GMT 2025","Tue Aug 05 21:19:24 GMT 2025","2074","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Tue Aug 05 21:19:55 GMT 2025","Tue Aug 05 21:19:59 GMT 2025","3821","LMS system","Courses","Courses","","","Edit course",""
"passed","Tue Aug 05 21:19:50 GMT 2025","Tue Aug 05 21:19:53 GMT 2025","3517","LMS system","Courses","Courses","","","Edit course",""
"passed","Tue Aug 05 21:19:30 GMT 2025","Tue Aug 05 21:19:32 GMT 2025","2187","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
"passed","Tue Aug 05 21:19:36 GMT 2025","Tue Aug 05 21:19:37 GMT 2025","1522","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Tue Aug 05 21:19:27 GMT 2025","Tue Aug 05 21:19:29 GMT 2025","1699","LMS system","Authentication","Authorization","","","Navigation from login page to registration page",""
"passed","Tue Aug 05 21:19:57 GMT 2025","Tue Aug 05 21:20:00 GMT 2025","2273","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Tue Aug 05 21:19:32 GMT 2025","Tue Aug 05 21:19:35 GMT 2025","2756","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
"passed","Tue Aug 05 21:19:08 GMT 2025","Tue Aug 05 21:19:15 GMT 2025","6477","LMS system","Authentication","Authorization","","","User login with correct email and password",""
"passed","Tue Aug 05 21:19:49 GMT 2025","Tue Aug 05 21:19:53 GMT 2025","4477","LMS system","Courses","Courses","","","Edit course",""
"passed","Tue Aug 05 21:19:03 GMT 2025","Tue Aug 05 21:19:05 GMT 2025","1917","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Tue Aug 05 21:19:23 GMT 2025","Tue Aug 05 21:19:25 GMT 2025","1944","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
